tau,K,div_prod,forward_model,forward_implied,prepaid_model,prepaid_implied,call,put,parity_residual_prepaid
0.248,100.0,1.0,100.0,99.99999999999997,100.0,99.99999999999997,1.9865112596052215,1.9865112596052543,-2.842170943040401e-14
0.249,100.0,1.0,100.0,99.99999999999999,100.0,99.99999999999999,1.9905114640748285,1.9905114640748494,-1.4210854715202004e-14
0.25,100.0,0.98,98.0,97.99999999999999,98.0,97.99999999999999,1.1335440964903556,3.1335440964903736,-1.4210854715202004e-14
0.2500005,100.0,0.98,98.0,98.00000000000013,98.0,98.00000000000013,1.133545915796672,3.133545915796547,1.2789769243681803e-13
0.251,100.0,0.98,98.0,98.00000000000016,98.0,98.00000000000016,1.1371796685623765,3.1371796685622186,1.5631940186722204e-13
0.252,100.0,0.98,98.0,97.99999999999994,98.0,97.99999999999994,1.140809176609873,3.1408091766099275,-5.684341886080802e-14
0.253,100.0,0.98,98.0,98.00000000000011,98.0,98.00000000000011,1.1444326500942956,3.1444326500941884,1.1368683772161603e-13
0.254,100.0,0.98,98.0,98.00000000000014,98.0,98.00000000000014,1.1480501182467842,3.148050118246639,1.4210854715202004e-13
0.255,100.0,0.98,98.0,98.0000000000001,98.0,98.0000000000001,1.1516616100715535,3.1516616100714603,9.947598300641403e-14
0.256,100.0,0.98,98.0,98.00000000000009,98.0,98.00000000000009,1.1552671543480768,3.1552671543479933,8.526512829121202e-14
0.257,100.0,0.98,98.0,98.00000000000006,98.0,98.00000000000006,1.1588667796329934,3.1588667796329353,5.684341886080802e-14
0.258,100.0,0.98,98.0,97.99999999999999,98.0,97.99999999999999,1.1624605142628233,3.1624605142628384,-1.4210854715202004e-14
0.259,100.0,0.98,98.0,98.00000000000013,98.0,98.00000000000013,1.166048386356152,3.1660483863560276,1.2789769243681803e-13
0.26,100.0,0.98,98.0,98.00000000000003,98.0,98.00000000000003,1.169630423815402,3.1696304238153736,2.842170943040401e-14
0.27500045,100.0,0.98,98.0,98.00000000000006,98.0,98.00000000000006,1.2226807407369578,3.2226807407368994,5.684341886080802e-14
0.3000004,100.0,0.98,98.0,98.00000000000003,98.0,98.00000000000003,1.308424775105072,3.30842477510504,2.842170943040401e-14
0.32500035,100.0,0.98,98.0,98.00000000000006,98.0,98.00000000000006,1.3911315277754475,3.391131527775391,5.684341886080802e-14
0.3500003,100.0,0.98,98.0,98.0000000000001,98.0,98.0000000000001,1.471098109895689,3.471098109895592,9.947598300641403e-14
0.37500025,100.0,0.98,98.0,98.00000000000003,98.0,98.00000000000003,1.5485768232159234,3.548576823215892,2.842170943040401e-14
0.4000002,100.0,0.98,98.0,98.00000000000004,98.0,98.00000000000004,1.6237839315308014,3.6237839315307645,4.263256414560601e-14
0.42500015,100.0,0.98,98.0,97.99999999999997,98.0,97.99999999999997,1.6969063833109437,3.696906383310973,-2.842170943040401e-14
0.4500001,100.0,0.98,98.0,98.00000000000004,98.0,98.00000000000004,1.7681070280379476,3.768107028037908,4.263256414560601e-14
0.47500005,100.0,0.98,98.0,98.00000000000007,98.0,98.00000000000007,1.837528711758105,3.83752871175804,7.105427357601002e-14
0.5,100.0,0.98,98.0,98.0,98.0,98.0,1.905297528513562,3.9052975285135614,0.0
0.52499995,100.0,0.98,98.0,97.99999999999994,98.0,97.99999999999994,1.9715254284509807,3.9715254284510326,-5.684341886080802e-14
0.5499999,100.0,0.98,98.0,97.99999999999999,98.0,97.99999999999999,2.03631233007781,4.036312330077826,-1.4210854715202004e-14
0.57499985,100.0,0.98,98.0,98.00000000000006,98.0,98.00000000000006,2.0997478462379724,4.099747846237916,5.684341886080802e-14
0.5999998,100.0,0.98,98.0,98.00000000000009,98.0,98.00000000000009,2.1619127061423664,4.1619127061422745,8.526512829121202e-14
0.62499975,100.0,0.98,98.0,98.00000000000006,98.0,98.00000000000006,2.2228799359926916,4.222879935992628,5.684341886080802e-14
0.6499997,100.0,0.98,98.0,98.00000000000001,98.0,98.00000000000001,2.28271584618387,4.282715846183858,1.4210854715202004e-14
0.67499965,100.0,0.98,98.0,98.00000000000001,98.0,98.00000000000001,2.341480862261929,4.3414808622619105,1.4210854715202004e-14
0.6999996,100.0,0.98,98.0,98.00000000000007,98.0,98.00000000000007,2.3992302286995297,4.399230228699462,7.105427357601002e-14
0.72499955,100.0,0.98,98.0,98.0,98.0,98.0,2.4560146084026666,4.456014608402662,0.0
0.74,100.0,0.98,98.0,98.00000000000004,98.0,98.00000000000004,2.4896426524555277,4.4896426524554895,4.263256414560601e-14
0.741,100.0,0.98,98.0,97.99999999999994,98.0,97.99999999999994,2.49187293489957,4.491872934899623,-5.684341886080802e-14
0.742,100.0,0.98,98.0,98.00000000000006,98.0,98.00000000000006,2.494101792988513,4.49410179298846,5.684341886080802e-14
0.743,100.0,0.98,98.0,98.00000000000006,98.0,98.00000000000006,2.496329229434377,4.496329229434317,5.684341886080802e-14
0.744,100.0,0.98,98.0,98.00000000000011,98.0,98.00000000000011,2.4985552469410197,4.498555246940905,1.1368683772161603e-13
