scenario,t,b,p_marg,p_bs,has_boundary,t_star_prob,b_star_prob,t_star_bs_jump,b_star_bs_jump,p_star_bs_jump
A_call,0.484375,103.62944558319485,0.06727070999389406,0.10200821222296391,True,0.00390625,105.42868407818678,0.0234375,105.37954428283517,1.7208456881689926e-15
A_call,0.48828125,103.58917175539014,0.0705210748809999,0.10508433189826666,True,0.00390625,105.42868407818678,0.0234375,105.37954428283517,1.7208456881689926e-15
A_call,0.4921875,103.54436081548656,0.07413202890371928,0.10846542253614677,True,0.00390625,105.42868407818678,0.0234375,105.37954428283517,1.7208456881689926e-15
A_call,0.49609375,103.47451584838741,0.07943490032897249,0.11340091740651942,True,0.00390625,105.42868407818678,0.0234375,105.37954428283517,1.7208456881689926e-15
B_call,0.0,132.81780817682028,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.0038461538461538464,132.81598941816344,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.007692307692307693,132.81409794382768,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.011538461538461539,132.8121281872583,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.015384615384615385,132.81007394200057,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.019230769230769232,132.80792826287154,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.023076923076923078,132.8056833481473,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.026923076923076925,132.80333039858303,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.03076923076923077,132.80085944818384,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.03461538461538462,132.79825916069635,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.038461538461538464,132.79551658499312,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.04230769230769231,132.79261686237984,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.046153846153846156,132.78954288077875,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.05,132.7862748776332,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.05384615384615385,132.78279001332484,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.05769230769230769,132.77906199020742,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.06153846153846154,132.77506093473326,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.06538461538461539,132.77075416177297,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.06923076923076923,132.76610968641728,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.07307692307692308,132.76110890258252,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.07692307692307693,132.75579752985388,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.08076923076923077,132.7502978883253,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.08461538461538462,132.73900868395387,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
B_call,0.08846153846153847,132.72463891236106,0.0,0.0,True,0.1,102.03279308175702,0.1,102.03279308175702,0.0760169685395089
