scenario,t,b,b_plot,p_marg,p_marg_plot,p_bs,p_bs_plot,has_boundary,t_star_prob,b_star_prob,t_star_bs_jump,b_star_bs_jump,p_star_bs_jump
A_call,0.0,110.62725427659235,110.62725427659235,0.0,0.0,0.0,0.0,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.00196078431372549,110.58446686305925,110.58446686305925,1.5987211554602254e-14,1.5987211554602254e-14,0.0,0.0,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.00392156862745098,110.53834307444176,110.53834307444176,1.7208456881689926e-14,1.7208456881689926e-14,0.0,0.0,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.0058823529411764705,110.50143937702343,110.50143937702343,2.808864252301646e-14,2.808864252301646e-14,0.0,0.0,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.00784313725490196,110.45885767430296,110.45885767430296,6.206146707654625e-14,6.206146707654625e-14,0.0,0.0,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.00980392156862745,110.4183030416944,110.4183030416944,1.0247358517290195e-13,1.0247358517290195e-13,0.0,0.0,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.011764705882352941,110.37664276599676,110.37664276599676,1.7696955012524995e-13,1.7696955012524995e-13,0.0,0.0,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.013725490196078433,110.33180415746976,110.33180415746976,2.753353101070388e-13,2.753353101070388e-13,0.0,0.0,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.01568627450980392,110.28772510423477,110.28772510423477,4.445332990599127e-13,4.445332990599127e-13,0.0,0.0,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.017647058823529415,110.23689419824171,110.23689419824171,7.017719738655614e-13,7.017719738655614e-13,0.0,0.0,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.0196078431372549,110.19126340261147,110.19126340261147,1.074806910139614e-12,1.074806910139614e-12,0.0,0.0,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.021568627450980395,110.1391108029494,110.1391108029494,1.6596723995121465e-12,1.6596723995121465e-12,0.0,0.0,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.023529411764705882,110.09484177850386,110.09484177850386,2.4442670110147446e-12,2.4442670110147446e-12,0.0,0.0,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.025490196078431372,110.0473843993923,110.0473843993923,3.6087799415440713e-12,3.6087799415440713e-12,0.0,0.0,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.027450980392156866,110.00112108601074,110.00112108601074,5.236810984854401e-12,5.236810984854401e-12,0.0,0.0,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.029411764705882356,109.95364946244362,109.95364946244362,7.566614002030292e-12,7.566614002030292e-12,1.6653345369377348e-16,1.6653345369377348e-16,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.03137254901960784,109.90308394186108,109.90308394186108,1.09096065514791e-11,1.09096065514791e-11,1.8318679906315083e-15,1.8318679906315083e-15,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.03333333333333333,109.84922825461895,109.84922825461895,1.573818853017883e-11,1.573818853017883e-11,1.5709655798445965e-14,1.5709655798445965e-14,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.03529411764705883,109.79312883233926,109.79312883233926,2.2652657527544307e-11,2.2652657527544307e-11,1.078026556911027e-13,1.078026556911027e-13,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.03725490196078431,109.73533622840695,109.73533622840695,3.250855140635167e-11,3.250855140635167e-11,6.096789739729047e-13,6.096789739729047e-13,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.0392156862745098,109.68213933873977,109.68213933873977,4.5769721346289316e-11,4.5769721346289316e-11,2.8383961847566752e-12,2.8383961847566752e-12,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.041176470588235294,109.6276302265213,109.6276302265213,6.423661602639186e-11,6.423661602639186e-11,1.1487089057737876e-11,1.1487089057737876e-11,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.04313725490196079,109.57539388030398,109.57539388030398,8.90610918347079e-11,8.90610918347079e-11,4.055639157840574e-11,4.055639157840574e-11,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.04509803921568628,109.51924577277765,109.51924577277765,1.239343072612087e-10,1.239343072612087e-10,1.3043716107219439e-10,1.3043716107219439e-10,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.047058823529411764,109.46104328586271,109.46104328586271,1.7230916693478093e-10,1.7230916693478093e-10,3.837480888613243e-10,3.837480888613243e-10,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.049019607843137254,109.3954058023185,109.3954058023185,2.4251078922787883e-10,2.4251078922787883e-10,1.0649437442999954e-09,1.0649437442999954e-09,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.050980392156862744,109.33155398011233,109.33155398011233,3.3783376096607753e-10,3.3783376096607753e-10,2.7142878500363565e-09,2.7142878500363565e-09,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.05294117647058824,109.26903979836217,109.26903979836217,4.66464644688358e-10,4.66464644688358e-10,6.424392295922843e-09,6.424392295922843e-09,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.05490196078431373,109.20626333320608,109.20626333320608,6.409510699967313e-10,6.409510699967313e-10,1.430886326092562e-08,1.430886326092562e-08,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.056862745098039215,109.14873764773667,109.14873764773667,8.653076033482421e-10,8.653076033482421e-10,2.9655525146665696e-08,2.9655525146665696e-08,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.05882352941176471,109.08314321120181,109.08314321120181,1.184352060867866e-09,1.184352060867866e-09,6.000457736243803e-08,6.000457736243803e-08,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.060784313725490195,109.01202040817972,109.01202040817972,1.6332162289245389e-09,1.6332162289245389e-09,1.1788406351076475e-07,1.1788406351076475e-07,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.06274509803921569,108.94120030268513,108.94120030268513,2.2386839049204355e-09,2.2386839049204355e-09,2.2173902169964066e-07,2.2173902169964066e-07,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.06470588235294118,108.86767360754317,108.86767360754317,3.071342291605106e-09,3.071342291605106e-09,4.0422755342994776e-07,4.0422755342994776e-07,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.06666666666666667,108.79816726377267,108.79816726377267,4.154439681158806e-09,4.154439681158806e-09,7.034912213321753e-07,7.034912213321753e-07,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.06862745098039216,108.73351714515651,108.73351714515651,5.53241286116446e-09,5.53241286116446e-09,1.1711404293013317e-06,1.1711404293013317e-06,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.07058823529411766,108.65980630156379,108.65980630156379,7.48002115802393e-09,7.48002115802393e-09,1.937475145208367e-06,1.937475145208367e-06,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.07254901960784314,108.57778613713039,108.57778613713039,1.0245789106022585e-08,1.0245789106022585e-08,3.1799371338903093e-06,3.1799371338903093e-06,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.07450980392156863,108.4956769824639,108.4956769824639,1.3964267520094609e-08,1.3964267520094609e-08,5.082172126968931e-06,5.082172126968931e-06,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.07647058823529412,108.42407013035698,108.42407013035698,1.8521227662660067e-08,1.8521227662660067e-08,7.740392779120864e-06,7.740392779120864e-06,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.0784313725490196,108.3485620893173,108.3485620893173,2.4656146235813026e-08,2.4656146235813026e-08,1.1636324097119566e-05,1.1636324097119566e-05,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.0803921568627451,108.2693688766992,108.2693688766992,3.2926720461290415e-08,3.2926720461290415e-08,1.7272595674855395e-05,1.7272595674855395e-05,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.08235294117647059,108.18186157561026,108.18186157561026,4.452871549265325e-08,4.452871549265325e-08,2.5573906791254153e-05,2.5573906791254153e-05,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.08431372549019608,108.0955307590447,108.0955307590447,5.981194284299107e-08,5.981194284299107e-08,3.706323068297657e-05,3.706323068297657e-05,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.08627450980392158,108.01600728214191,108.01600728214191,7.894971787436589e-08,7.894971787436589e-08,5.209269554712348e-05,5.209269554712348e-05,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.08823529411764706,107.93478055470696,107.93478055470696,1.0426649410533173e-07,1.0426649410533173e-07,7.230266879720837e-05,7.230266879720837e-05,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.09019607843137256,107.84847383126338,107.84847383126338,1.388339159191787e-07,1.388339159191787e-07,9.978041948466299e-05,9.978041948466299e-05,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.09215686274509804,107.7522520586452,107.7522520586452,1.8844587745814323e-07,1.8844587745814323e-07,0.00013810018906151855,0.00013810018906151855,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.09411764705882353,107.65313843077418,107.65313843077418,2.5772288525516274e-07,2.5772288525516274e-07,0.0001893031464007544,0.0001893031464007544,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.09607843137254903,107.558005265244,107.558005265244,3.513137116772924e-07,3.513137116772924e-07,0.00025422317388995586,0.00025422317388995586,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.09803921568627451,107.44470193970706,107.44470193970706,5.013417593291436e-07,5.013417593291436e-07,0.0003470359237064402,0.0003470359237064402,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.1,100.00023352656189,100.00023352656189,0.5913678430071232,0.5913678430071232,0.495678488643041,0.495678488643041,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.10195121951219513,114.5383643982364,114.5383643982364,0.0,0.0,0.0,0.0,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.10390243902439025,114.52146923828874,114.52146923828874,3.3306690738754696e-16,3.3306690738754696e-16,0.0,0.0,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.10585365853658538,114.50233529770658,114.50233529770658,0.0,0.0,0.0,0.0,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.1078048780487805,114.48107927707395,114.48107927707395,0.0,0.0,0.0,0.0,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.10975609756097562,114.45894387897825,114.45894387897825,1.3322676295501878e-15,1.3322676295501878e-15,0.0,0.0,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.11170731707317073,114.4395181636758,114.4395181636758,0.0,0.0,0.0,0.0,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.11365853658536586,114.42351198969803,114.42351198969803,0.0,0.0,0.0,0.0,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.11560975609756098,114.4052607419673,114.4052607419673,2.1094237467877974e-15,2.1094237467877974e-15,0.0,0.0,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.1175609756097561,114.38465496870295,114.38465496870295,0.0,0.0,0.0,0.0,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.11951219512195123,114.36210608756714,114.36210608756714,1.5543122344752192e-15,1.5543122344752192e-15,0.0,0.0,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.12146341463414635,114.34006796799358,114.34006796799358,0.0,0.0,0.0,0.0,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.12341463414634148,114.32464785156505,114.32464785156505,0.0,0.0,0.0,0.0,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.12536585365853659,114.30839554712135,114.30839554712135,1.1102230246251565e-15,1.1102230246251565e-15,0.0,0.0,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.1273170731707317,114.29003947245278,114.29003947245278,0.0,0.0,0.0,0.0,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.12926829268292683,114.26962483283857,114.26962483283857,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.13121951219512196,114.24798737641508,114.24798737641508,0.0,0.0,0.0,0.0,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.13317073170731708,114.22809691588489,114.22809691588489,0.0,0.0,0.0,0.0,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.1351219512195122,114.21298762890653,114.21298762890653,0.0,0.0,0.0,0.0,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.13707317073170733,114.19583945987155,114.19583945987155,0.0,0.0,0.0,0.0,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
A_call,0.13902439024390245,114.1765283378007,114.1765283378007,0.0,0.0,0.0,0.0,True,0.09803921568627451,107.44470193970706,0.09803921568627451,107.44470193970706,0.0003470359237064402
