scenario,t,b,p_marg,dp,p_bs,dp_bs,has_boundary,t_star_prob,b_star_prob,t_star_bs,b_star_bs,t_star_bs_jump,b_star_bs_jump,p_star_bs_jump,t_star_drop,b_star_drop,p_star_drop
A_call,0.0,105.43973277655651,0.0,0.0,0.0,0.0,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.00390625,105.42868407818678,3.7387355433793346e-09,3.7387355433793346e-09,0.0,0.0,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.0078125,105.41800508118602,8.532853645881744e-09,4.794118102502409e-09,0.0,0.0,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.01171875,105.40944657239302,1.450247910650404e-08,5.9696254606222965e-09,0.0,0.0,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.015625,105.40019580145733,2.1895227297896724e-08,7.392748191392684e-09,0.0,0.0,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.01953125,105.39022276582293,3.0972437836673805e-08,9.07721053877708e-09,0.0,0.0,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.0234375,105.37954428283517,4.203493486620857e-08,1.1062497029534768e-08,1.7208456881689926e-15,1.7208456881689926e-15,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.02734375,105.36831383295429,5.5412950339395195e-08,1.3378015473186622e-08,1.7014167852380524e-13,1.6842083283563625e-13,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.03125,105.35722161994173,7.13887574610439e-08,1.59758071216487e-08,5.350442311424786e-12,5.1803006329009804e-12,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.03515625,105.34784622857795,9.0025142562844e-08,1.86363851018001e-08,7.769457299744431e-11,7.234413068601953e-11,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.0390625,105.33844334111583,1.1191928628306869e-07,2.189414372022469e-08,6.643041117193604e-10,5.866095387219161e-10,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.04296875,105.32828040648823,1.3770877904661916e-07,2.578949276355047e-08,3.879899124203945e-09,3.2155950124845845e-09,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.046875,105.31736703527184,1.6799159296976285e-07,3.028281392314369e-08,1.7019652909233685e-08,1.313975378502974e-08,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.05078125,105.3058482345449,2.0339198236740685e-07,3.5400389397644005e-08,5.984035689188261e-08,4.282070398264892e-08,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.0546875,105.2944000863738,2.443224744741457e-07,4.0930492106738825e-08,1.761985805592836e-07,1.16358223667401e-07,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.05859375,105.28461518991114,2.9051861138995605e-07,4.619613691581037e-08,4.4681363337018e-07,2.7061505281089637e-07,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.0625,105.27493457083324,3.4328271447670033e-07,5.2764103086744285e-08,1.0101292772235482e-06,5.633156438533682e-07,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.06640625,105.26445112178783,4.0405225421036306e-07,6.076953973366273e-08,2.084983509897942e-06,1.0748542326743937e-06,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
A_call,0.0703125,105.25317754204043,4.7396866986737507e-07,6.991641565701201e-08,3.988689306233528e-06,1.9037057963355863e-06,True,0.49609375,103.47451584838741,0.49609375,103.47451584838741,0.0234375,105.37954428283517,1.7208456881689926e-15,0.49609375,103.47451584838741,0.11340091740651942
