scenario,t,b,b_plot,p_marg,p_marg_plot,p_bs,p_bs_plot,has_boundary,t_star_prob,b_star_prob,t_star_bs_jump,b_star_bs_jump,p_star_bs_jump
A_call,0.0,115.46960445806506,115.46960445806506,0.0,0.0,0.0,0.0,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.00390625,115.43776026326805,115.43776026326805,0.0,0.0,0.0,0.0,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.0078125,115.39739909599027,115.39739909599027,0.0,0.0,0.0,0.0,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.01171875,115.34601781652604,115.34601781652604,0.0,0.0,0.0,0.0,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.015625,115.28132180387446,115.28132180387446,0.0,0.0,0.0,0.0,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.01953125,115.20382137131948,115.20382137131948,0.0,0.0,0.0,0.0,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.0234375,115.1245037240872,115.1245037240872,0.0,0.0,0.0,0.0,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.02734375,115.07654127548182,115.07654127548182,0.0,0.0,0.0,0.0,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.03125,115.06648026886491,115.06648026886491,0.0,0.0,0.0,0.0,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.03515625,115.05527026704243,115.05527026704243,0.0,0.0,0.0,0.0,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.0390625,115.04273569098339,115.04273569098339,3.3306690738754696e-15,3.3306690738754696e-15,0.0,0.0,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.04296875,115.02866976178504,115.02866976178504,3.9968028886505635e-15,3.9968028886505635e-15,0.0,0.0,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.046875,115.01282949453255,115.01282949453255,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.05078125,114.99493100447977,114.99493100447977,7.66053886991358e-15,7.66053886991358e-15,0.0,0.0,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.0546875,114.97464645932186,114.97464645932186,3.552713678800501e-15,3.552713678800501e-15,0.0,0.0,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.05859375,114.95160385813784,114.95160385813784,8.548717289613705e-15,8.548717289613705e-15,0.0,0.0,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.0625,114.92539815213907,114.92539815213907,5.10702591327572e-15,5.10702591327572e-15,1.1102230246251565e-16,1.1102230246251565e-16,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.06640625,114.89561982355613,114.89561982355613,1.887379141862766e-15,1.887379141862766e-15,8.881784197001252e-16,8.881784197001252e-16,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.0703125,114.86192167269715,114.86192167269715,7.882583474838611e-15,7.882583474838611e-15,6.106226635438361e-15,6.106226635438361e-15,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.07421875,114.82415855206288,114.82415855206288,9.992007221626409e-15,9.992007221626409e-15,3.430589146091734e-14,3.430589146091734e-14,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.078125,114.78266415430025,114.78266415430025,1.3877787807814457e-14,1.3877787807814457e-14,1.6420198534206065e-13,1.6420198534206065e-13,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.08203125,114.73877701310192,114.73877701310192,1.8096635301390052e-14,1.8096635301390052e-14,6.828981824469338e-13,6.828981824469338e-13,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.0859375,114.69579814761167,114.69579814761167,2.653433028854124e-14,2.653433028854124e-14,2.4902857553854574e-12,2.4902857553854574e-12,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.08984375,114.660640531317,114.660640531317,3.597122599785507e-14,3.597122599785507e-14,7.9363737803817e-12,7.9363737803817e-12,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.09375,114.63409394037363,114.63409394037363,5.295763827461997e-14,5.295763827461997e-14,2.2430113322258194e-11,2.2430113322258194e-11,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.09765625,114.60497119044007,114.60497119044007,7.649436639667329e-14,7.649436639667329e-14,5.879308151435225e-11,5.879308151435225e-11,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.1015625,114.56704494131118,114.56704494131118,1.163513729807164e-13,1.163513729807164e-13,1.4652484781052522e-10,1.4652484781052522e-10,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.10546875,114.51707250833884,114.51707250833884,1.7852386235972517e-13,1.7852386235972517e-13,3.519711744282006e-10,3.519711744282006e-10,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.109375,114.45127754971975,114.45127754971975,2.822186928597148e-13,2.822186928597148e-13,8.254750216707407e-10,8.254750216707407e-10,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.11328125,114.36768124951685,114.36768124951685,4.664046926450283e-13,4.664046926450283e-13,1.9029998687969396e-09,1.9029998687969396e-09,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.1171875,114.27499627552794,114.27499627552794,7.80486786311485e-13,7.80486786311485e-13,4.2346912643154155e-09,4.2346912643154155e-09,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.12109375,114.21108625550268,114.21108625550268,1.2223555501122974e-12,1.2223555501122974e-12,8.410548257842265e-09,8.410548257842265e-09,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.125,114.19952942256836,114.19952942256836,1.6928680679484387e-12,1.6928680679484387e-12,1.4351214383534483e-08,1.4351214383534483e-08,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.12890625,114.18647919734096,114.18647919734096,2.341460358934455e-12,2.341460358934455e-12,2.3790173164783823e-08,2.3790173164783823e-08,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
A_call,0.1328125,114.17168189039558,114.17168189039558,3.2320812692887557e-12,3.2320812692887557e-12,3.8430018445279046e-08,3.8430018445279046e-08,True,0.48828125,107.98956748284223,0.47265625,108.74471657551042,0.034287984488483914
