scenario,t,b,p_marg,dp,p_bs,dp_bs,has_boundary,t_star_prob,b_star_prob,t_star_bs,b_star_bs,t_star_drop,b_star_drop,p_star_drop
A_call,0.0,105.43973277655651,0.0,0.0,0.0,0.0,True,0.49609375,103.47451584838741,0.00390625,105.42868407818678,0.00390625,105.42868407818678,1.0
A_call,0.00390625,105.42868407818678,3.7387355433793346e-09,3.7387355433793346e-09,1.0,1.0,True,0.49609375,103.47451584838741,0.00390625,105.42868407818678,0.00390625,105.42868407818678,1.0
A_call,0.0078125,105.41800508118602,8.532853645881744e-09,4.794118102502409e-09,1.0,0.0,True,0.49609375,103.47451584838741,0.00390625,105.42868407818678,0.00390625,105.42868407818678,1.0
A_call,0.01171875,105.40944657239302,1.450247910650404e-08,5.9696254606222965e-09,1.0,0.0,True,0.49609375,103.47451584838741,0.00390625,105.42868407818678,0.00390625,105.42868407818678,1.0
A_call,0.015625,105.40019580145733,2.1895227297896724e-08,7.392748191392684e-09,1.0,0.0,True,0.49609375,103.47451584838741,0.00390625,105.42868407818678,0.00390625,105.42868407818678,1.0
A_call,0.01953125,105.39022276582293,3.0972437836673805e-08,9.07721053877708e-09,1.0,0.0,True,0.49609375,103.47451584838741,0.00390625,105.42868407818678,0.00390625,105.42868407818678,1.0
A_call,0.0234375,105.37954428283517,4.203493486620857e-08,1.1062497029534768e-08,0.9999999999999982,0.0,True,0.49609375,103.47451584838741,0.00390625,105.42868407818678,0.00390625,105.42868407818678,1.0
A_call,0.02734375,105.36831383295429,5.5412950339395195e-08,1.3378015473186622e-08,0.9999999999998299,0.0,True,0.49609375,103.47451584838741,0.00390625,105.42868407818678,0.00390625,105.42868407818678,1.0
A_call,0.03125,105.35722161994173,7.13887574610439e-08,1.59758071216487e-08,0.9999999999946496,0.0,True,0.49609375,103.47451584838741,0.00390625,105.42868407818678,0.00390625,105.42868407818678,1.0
A_call,0.03515625,105.34784622857795,9.0025142562844e-08,1.86363851018001e-08,0.9999999999223055,0.0,True,0.49609375,103.47451584838741,0.00390625,105.42868407818678,0.00390625,105.42868407818678,1.0
A_call,0.0390625,105.33844334111583,1.1191928628306869e-07,2.189414372022469e-08,0.9999999993356958,0.0,True,0.49609375,103.47451584838741,0.00390625,105.42868407818678,0.00390625,105.42868407818678,1.0
A_call,0.04296875,105.32828040648823,1.3770877904661916e-07,2.578949276355047e-08,0.9999999961201009,0.0,True,0.49609375,103.47451584838741,0.00390625,105.42868407818678,0.00390625,105.42868407818678,1.0
A_call,0.046875,105.31736703527184,1.6799159296976285e-07,3.028281392314369e-08,0.9999999829803471,0.0,True,0.49609375,103.47451584838741,0.00390625,105.42868407818678,0.00390625,105.42868407818678,1.0
A_call,0.05078125,105.3058482345449,2.0339198236740685e-07,3.5400389397644005e-08,0.9999999401596431,0.0,True,0.49609375,103.47451584838741,0.00390625,105.42868407818678,0.00390625,105.42868407818678,1.0
A_call,0.0546875,105.2944000863738,2.443224744741457e-07,4.0930492106738825e-08,0.9999998238014194,0.0,True,0.49609375,103.47451584838741,0.00390625,105.42868407818678,0.00390625,105.42868407818678,1.0
A_call,0.05859375,105.28461518991114,2.9051861138995605e-07,4.619613691581037e-08,0.9999995531863666,0.0,True,0.49609375,103.47451584838741,0.00390625,105.42868407818678,0.00390625,105.42868407818678,1.0
A_call,0.0625,105.27493457083324,3.4328271447670033e-07,5.2764103086744285e-08,0.9999989898707228,0.0,True,0.49609375,103.47451584838741,0.00390625,105.42868407818678,0.00390625,105.42868407818678,1.0
A_call,0.06640625,105.26445112178783,4.0405225421036306e-07,6.076953973366273e-08,0.9999979150164902,0.0,True,0.49609375,103.47451584838741,0.00390625,105.42868407818678,0.00390625,105.42868407818678,1.0
A_call,0.0703125,105.25317754204043,4.7396866986737507e-07,6.991641565701201e-08,0.9999960113106938,0.0,True,0.49609375,103.47451584838741,0.00390625,105.42868407818678,0.00390625,105.42868407818678,1.0
A_call,0.07421875,105.24128092590277,5.542347447651252e-07,8.026607489775017e-08,0.9999928472613694,0.0,True,0.49609375,103.47451584838741,0.00390625,105.42868407818678,0.00390625,105.42868407818678,1.0
A_call,0.078125,105.2295447185654,6.455447540965054e-07,9.131000933138012e-08,0.9999878930362235,0.0,True,0.49609375,103.47451584838741,0.00390625,105.42868407818678,0.00390625,105.42868407818678,1.0
A_call,0.08203125,105.21979105959991,7.470782587004621e-07,1.0153350460395671e-07,0.999980615114564,0.0,True,0.49609375,103.47451584838741,0.00390625,105.42868407818678,0.00390625,105.42868407818678,1.0
A_call,0.0859375,105.20972952118028,8.639976337709854e-07,1.169193750705233e-07,0.9999702043431751,0.0,True,0.49609375,103.47451584838741,0.00390625,105.42868407818678,0.00390625,105.42868407818678,1.0
A_call,0.08984375,105.19882661775362,1.0014095694899083e-06,1.3741193571892296e-07,0.9999557310777613,0.0,True,0.49609375,103.47451584838741,0.00390625,105.42868407818678,0.00390625,105.42868407818678,1.0
A_call,0.09375,105.18712063197817,1.1660109714428657e-06,1.6460140195295736e-07,0.9999361616826674,0.0,True,0.49609375,103.47451584838741,0.00390625,105.42868407818678,0.00390625,105.42868407818678,1.0
A_call,0.09765625,105.17489055958933,1.3673313682405208e-06,2.0132039679765512e-07,0.9999104004363321,0.0,True,0.49609375,103.47451584838741,0.00390625,105.42868407818678,0.00390625,105.42868407818678,1.0
A_call,0.1015625,105.16318044055151,1.6167609047101905e-06,2.494295364696697e-07,0.999877565649244,0.0,True,0.49609375,103.47451584838741,0.00390625,105.42868407818678,0.00390625,105.42868407818678,1.0
