scenario,t,b,p_marg,p_bs,has_boundary,t_star_prob,b_star_prob,t_star_bs_jump,b_star_bs_jump,p_star_bs_jump
A_call,0.0,105.43973277655651,0.0,0.0,True,0.00390625,105.42868407818678,0.0234375,105.37954428283517,1.7208456881689926e-15
A_call,0.00390625,105.42868407818678,3.7387355433793346e-09,0.0,True,0.00390625,105.42868407818678,0.0234375,105.37954428283517,1.7208456881689926e-15
A_call,0.0078125,105.41800508118602,8.532853645881744e-09,0.0,True,0.00390625,105.42868407818678,0.0234375,105.37954428283517,1.7208456881689926e-15
A_call,0.01171875,105.40944657239302,1.450247910650404e-08,0.0,True,0.00390625,105.42868407818678,0.0234375,105.37954428283517,1.7208456881689926e-15
A_call,0.015625,105.40019580145733,2.1895227297896724e-08,0.0,True,0.00390625,105.42868407818678,0.0234375,105.37954428283517,1.7208456881689926e-15
A_call,0.01953125,105.39022276582293,3.0972437836673805e-08,0.0,True,0.00390625,105.42868407818678,0.0234375,105.37954428283517,1.7208456881689926e-15
A_call,0.0234375,105.37954428283517,4.203493486620857e-08,1.7208456881689926e-15,True,0.00390625,105.42868407818678,0.0234375,105.37954428283517,1.7208456881689926e-15
A_call,0.02734375,105.36831383295429,5.5412950339395195e-08,1.7014167852380524e-13,True,0.00390625,105.42868407818678,0.0234375,105.37954428283517,1.7208456881689926e-15
A_call,0.03125,105.35722161994173,7.13887574610439e-08,5.350442311424786e-12,True,0.00390625,105.42868407818678,0.0234375,105.37954428283517,1.7208456881689926e-15
A_call,0.03515625,105.34784622857795,9.0025142562844e-08,7.769457299744431e-11,True,0.00390625,105.42868407818678,0.0234375,105.37954428283517,1.7208456881689926e-15
A_call,0.0390625,105.33844334111583,1.1191928628306869e-07,6.643041117193604e-10,True,0.00390625,105.42868407818678,0.0234375,105.37954428283517,1.7208456881689926e-15
A_call,0.04296875,105.32828040648823,1.3770877904661916e-07,3.879899124203945e-09,True,0.00390625,105.42868407818678,0.0234375,105.37954428283517,1.7208456881689926e-15
A_call,0.046875,105.31736703527184,1.6799159296976285e-07,1.7019652909233685e-08,True,0.00390625,105.42868407818678,0.0234375,105.37954428283517,1.7208456881689926e-15
A_call,0.05078125,105.3058482345449,2.0339198236740685e-07,5.984035689188261e-08,True,0.00390625,105.42868407818678,0.0234375,105.37954428283517,1.7208456881689926e-15
