time,cos_euro_standalone,cos_euro_from_rollback,fdm_euro,cos_american,fdm_american,lsmc_american_train,lsmc_american_refit,lsmc_cont_train_at_S0,lsmc_cont_refit_at_S0
0.0,8.694225320581642,8.694225320581642,13.394321957821793,14.186366062226544,13.394321957821793,7.051973246722271,6.487222418123952,,
0.025,8.553352007512979,8.553352007512979,13.245302976207311,14.016821839141867,13.245302976207311,6.269560459873814,6.950781203419872,,
0.05,8.41092197479221,8.41092197479221,13.09461453071276,13.84562373247728,13.09461453071276,6.332753241140004,6.604659748612009,,
0.07500000000000001,8.266876620802723,8.266876620802723,12.942192806063417,13.672725851739822,12.942192806063417,5.566619818196355,6.075774733805231,,
0.1,8.121153492175035,8.121153492175035,12.787969494493488,13.49798113172324,12.787969494493488,5.831171534000454,6.173360751807265,,
0.125,7.9736859190498075,7.9736859190498075,12.631871201176638,13.321340147032208,12.631871201176638,6.853081405724991,5.984003620061688,,
0.15000000000000002,7.824402604694223,7.824402604694223,12.473818621541392,13.142746057523691,12.473818621541392,5.604539699298322,5.2201657271675685,,
0.17500000000000002,7.673227162292191,7.673227162292191,12.313725239562354,12.962047160274935,12.313725239562354,6.2919303063972505,5.6129092538216945,,
0.2,7.520077590356846,7.520077590356846,12.151494778389516,12.77912004372738,12.151494778389516,6.282664584600919,5.822316707367904,,
0.225,7.364865676528863,7.364865676528863,11.987014387962635,12.594001647392638,11.987014387962635,5.77691535172482,5.873157086553727,,
0.24,7.27070935035234,7.27070935035234,11.88718747451398,15.318024724764799,11.88718747451398,5.9823024728127265,3.9894405060260096,,
0.241,7.2644041228713405,7.2644041228713405,11.880493337712272,15.311487757720192,11.880493337712272,6.592816923127775,4.717001310275278,,
0.242,7.258095340830796,7.258095340830796,11.87381022560882,15.304948571773298,11.87381022560882,5.005675079426499,6.02384299793157,,
0.243,7.251782997576702,7.251782997576702,11.867113461425742,15.298407163426898,11.867113461425742,6.1716931324474045,6.833159426922656,,
0.244,7.245467086434308,7.245467086434308,11.860422688069983,15.291290589916667,11.860422688069983,4.611545593467878,6.448925187873292,,
0.245,7.239147600707464,7.239147600707464,11.853719270616164,15.284735299219863,11.853719270616164,5.8526902994249665,5.704706101547232,,
0.246,7.232824533678573,7.232824533678573,11.847009357245526,15.27817778616864,11.847009357245526,6.5959390370994235,5.922170439915336,,
0.247,7.22649787860892,7.22649787860892,11.840307016543715,15.271618047366406,11.840307016543715,4.501767190929895,5.3515114123125915,,
0.248,7.2201676287379914,7.2201676287379914,11.833598415874626,15.265056079435729,11.833598415874626,5.408141457307338,5.364166754576629,,
0.249,7.213833777284252,7.213833777284252,11.826888346853211,15.258491878784321,11.826888346853211,4.991469211223288,5.564869295407934,,
0.25,8.216975935429787,8.216975935429787,10.519065797389862,11.081820905730986,10.519065797389862,4.781266860834923,5.749932718243693,,
0.251,8.210469491506448,8.210469491506448,10.512367271650762,11.074379994884781,10.512367271650762,5.7188495476034475,4.952516644701558,,
0.252,8.203959216483156,8.203959216483156,10.50566476773127,11.066935177857138,10.50566476773127,5.38340993369309,5.137663788629018,,
0.253,8.197445102880867,8.197445102880867,10.49896337746534,11.059486446645549,10.49896337746534,4.34882470525435,6.089891539700304,,
0.254,8.190927143196738,8.190927143196738,10.492252914707656,11.052033793342929,10.492252914707656,7.668360610581043,5.6533866608483185,,
0.255,8.184405329902397,8.184405329902397,10.485543566776794,11.044577209912973,10.485543566776794,6.573015913253858,4.925219471412793,,
0.256,8.177879655444588,8.177879655444588,10.478825113944932,11.037116688264014,10.478825113944932,7.382116158377661,4.756231063299536,,
0.257,8.17135011224542,8.17135011224542,10.472102643666537,11.02965222040577,10.472102643666537,5.846473580677232,5.933176490902125,,
0.258,8.164816692701582,8.164816692701582,10.465381302757505,11.022183798176204,10.465381302757505,5.219193722741606,5.376478496345117,,
