scenario,t,b,p_bs,p_marg,t_star_prob,b_star_prob,t_star_bs_jump,b_star_bs_jump,p_star_bs_jump
B_call,0.0,120.76455278466265,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.00196078431372549,120.75410475819672,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.00392156862745098,120.7436986293966,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.0058823529411764705,120.73337545510392,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.00784313725490196,120.72320574327321,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.00980392156862745,120.71331611520341,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.011764705882352941,120.7039427607983,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.013725490196078433,120.69555695771682,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.01568627450980392,120.68924029613731,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.017647058823529415,120.68291694663428,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.0196078431372549,120.67620455606122,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.021568627450980395,120.66903843370355,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.023529411764705882,120.66133730138024,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.025490196078431372,120.65299763073375,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.027450980392156866,120.64388587712409,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.029411764705882356,120.6338282931467,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.03137254901960784,120.62259939983377,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.03333333333333333,120.60991573990108,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.03529411764705883,120.59546013848265,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
B_call,0.03725490196078431,120.57901210793968,0.0,nan,,,0.1,100.39805668695807,0.411600752478027
