name,C,G,M,Y,K,european_cos,american_cos
cgmy1,0.02,5.0,5.0,0.5,90.0,11.892866816592182,11.892866816592182
cgmy1,0.02,5.0,5.0,0.5,100.0,2.6021186903351863,2.6021186903351863
cgmy1,0.02,5.0,5.0,0.5,110.0,0.3450600754989535,0.3450600754989535
cgmy2,0.02,5.0,5.0,1.2,90.0,12.467508439639186,12.467508439639186
cgmy2,0.02,5.0,5.0,1.2,100.0,5.1259334624757456,5.1259334624757456
cgmy2,0.02,5.0,5.0,1.2,110.0,1.6355888972551802,1.6355888972551802
cgmy3,0.1,3.0,3.0,0.5,90.0,13.541531069250384,13.541531069250384
cgmy3,0.1,3.0,3.0,0.5,100.0,6.486841671700957,6.486841671700957
cgmy3,0.1,3.0,3.0,0.5,110.0,3.5193940388393936,3.5193940388393936
