div_std,K,iv_option,mc_price,mc_se,mc_call,mc_put,mc_call_se,mc_put_se,cos_price,cos_call,cos_put,abs_diff,iv_det_gbm_from_mc,iv_det_gbm_from_cos,cgmy_C,cgmy_G,cgmy_M,cgmy_Y,trunc_eps,mc_paths
0.0,88.42780510996491,P,,,,,,,8.634707351559143,8.634707351559143,0.06288989384756384,,,0.09255667694113792,0.02,5.0,5.0,0.5,0.001,300000
0.0,88.98953569397685,P,,,,,,,8.078734134436761,8.078734134436761,0.06864726073710845,,,0.08867811542837088,0.02,5.0,5.0,0.5,0.001,300000
0.0,89.55126627798879,P,,,,,,,7.522725849349245,7.522725849349245,0.0743695596615699,,,0.08459235610491815,0.02,5.0,5.0,0.5,0.001,300000
0.0,90.11299686200073,P,,,,,,,6.966894644379568,6.966894644379568,0.08026893870382504,,,0.08035494289458373,0.02,5.0,5.0,0.5,0.001,300000
0.0,90.67472744601267,P,,,,,,,6.412768543138906,6.412768543138906,0.08787342147510752,,,0.07623985999502346,0.02,5.0,5.0,0.5,0.001,300000
0.0,91.23645803002461,P,,,,,,,5.859397941410889,5.859397941410889,0.09623340375902013,,,0.07201133791883155,0.02,5.0,5.0,0.5,0.001,300000
0.0,91.79818861403655,P,,,,,,,5.305859174742651,5.305859174742651,0.10442522110272202,,,0.06750613906828902,0.02,5.0,5.0,0.5,0.001,300000
0.0,92.35991919804849,P,,,,,,,4.754539151256735,4.754539151256735,0.11483578162874954,,,0.06305320832274286,0.02,5.0,5.0,0.5,0.001,300000
0.0,92.92164978206043,P,,,,,,,4.205335771341484,4.205335771341484,0.12736298572543464,,,0.0585477474501111,0.02,5.0,5.0,0.5,0.001,300000
0.0,93.48338036607235,P,,,,,,,3.6559898238236794,3.6559898238236794,0.13974762221954665,,,0.053667083690108815,0.02,5.0,5.0,0.5,0.001,300000
0.0,94.0451109500843,P,,,,,,,3.1099406112622905,3.1099406112622905,0.15542899367012464,,,0.048729463775923985,0.02,5.0,5.0,0.5,0.001,300000
0.0,94.60684153409623,P,,,,,,,2.5688102755522806,2.5688102755522806,0.1760292419720347,,,0.04373070679067995,0.02,5.0,5.0,0.5,0.001,300000
0.0,95.16857211810817,P,,,,,,,2.0285388578651005,2.0285388578651005,0.19748840829679604,,,0.03817434921734793,0.02,5.0,5.0,0.5,0.001,300000
0.0,95.73030270212011,P,,,,,,,1.4958834356773674,1.4958834356773674,0.22656357012100722,,,0.03235814739581187,0.02,5.0,5.0,0.5,0.001,300000
0.0,96.29203328613205,P,,,,,,,0.9813196832263349,0.9813196832263349,0.273730401681913,,,0.026408232664218607,0.02,5.0,5.0,0.5,0.001,300000
0.0,96.853763870144,P,,,,,,,0.49684946734203217,0.49684946734203217,0.35099076980954724,,,0.0198336608488706,0.02,5.0,5.0,0.5,0.001,300000
0.0,97.41549445415593,C,,,,,,,0.3351755305910916,0.3351755305910916,0.7510474170705354,,,0.024319097228843907,0.02,5.0,5.0,0.5,0.001,300000
0.0,97.97722503816787,C,,,,,,,0.2850132590033946,0.2850132590033946,1.2626157294947837,,,0.0310793112276112,0.02,5.0,5.0,0.5,0.001,300000
0.0,98.53895562217981,C,,,,,,,0.2552212374178845,0.2552212374178845,1.7945542919212132,,,0.03745007053493356,0.02,5.0,5.0,0.5,0.001,300000
0.0,99.10068620619175,C,,,,,,,0.22729863057455912,0.22729863057455912,2.328362269089827,,,0.04296414270852862,0.02,5.0,5.0,0.5,0.001,300000
0.0,99.6624167902037,C,,,,,,,0.20657046878387894,0.20657046878387894,2.8693646913110893,,,0.048253544750044806,0.02,5.0,5.0,0.5,0.001,300000
0.0,100.22414737421563,C,,,,,,,0.1907762677390552,0.1907762677390552,3.415301074278205,,,0.05338458265418643,0.02,5.0,5.0,0.5,0.001,300000
0.0,100.78587795822757,C,,,,,,,0.17445542631819355,0.17445542631819355,3.960710816869274,,,0.05801222102119708,0.02,5.0,5.0,0.5,0.001,300000
0.0,101.3476085422395,C,,,,,,,0.16244010044269006,0.16244010044269006,4.510426075005699,,,0.06265813151198295,0.02,5.0,5.0,0.5,0.001,300000
0.0,101.90933912625144,C,,,,,,,0.1514521465529338,0.1514521465529338,5.061168705127877,,,0.06708615716941678,0.02,5.0,5.0,0.5,0.001,300000
0.0,102.47106971026338,C,,,,,,,0.14053255371769002,0.14053255371769002,5.611979696304581,,,0.07122045725189105,0.02,5.0,5.0,0.5,0.001,300000
0.0,103.03280029427532,C,,,,,,,0.13262524213669127,0.13262524213669127,6.165802968735528,,,0.07546306985632394,0.02,5.0,5.0,0.5,0.001,300000
0.0,103.59453087828726,C,,,,,,,0.12394731377614289,0.12394731377614289,6.718855624386909,,,0.07936814354927962,0.02,5.0,5.0,0.5,0.001,300000
0.0,104.1562614622992,C,,,,,,,0.11665998236761926,0.11665998236761926,7.273298876990343,,,0.08324788704730825,0.02,5.0,5.0,0.5,0.001,300000
0.0,104.71799204631114,C,,,,,,,0.11052497020339756,0.11052497020339756,7.828894448838055,,,0.08710963838307591,0.02,5.0,5.0,0.5,0.001,300000
0.0,105.27972263032308,C,,,,,,,0.1036816445599444,0.1036816445599444,8.383781707206532,,,0.09066545496853902,0.02,5.0,5.0,0.5,0.001,300000
0.0,105.84145321433502,C,,,,,,,0.09878673210389986,0.09878673210389986,8.94061737876241,,,0.09439022457794399,0.02,5.0,5.0,0.5,0.001,300000
0.0,106.40318379834696,C,,,,,,,0.0932542075069134,0.0932542075069134,9.49681543817739,,,0.09783603691918584,0.02,5.0,5.0,0.5,0.001,300000
