Y,q,K,baseM,N,eu,vM,v2M,v4M,v8M,vAM
1.5,0.05,110.0,8,512,43.72314973441289,4.557833126214232,4.56665497189681,4.580885205818862,4.601284172516197,4.634664380739114
1.5,0.05,110.0,16,512,43.72314973441289,4.56665497189681,4.580885205818862,4.601284172516197,4.615684981164624,4.633222049676008
1.5,0.05,110.0,32,512,43.72314973441289,4.580885205818862,4.601284172516197,4.615684981164624,4.6193430393341135,4.61888994197963
1.98,0.05,110.0,8,1024,9023007.084707584,18.172212863663237,-23.770403485667728,-23.743488719702576,-23.722136802655655,-25.69234517760139
1.98,0.05,110.0,16,1024,9023007.084707584,-23.770403485667728,-23.743488719702576,-23.722136802655655,-23.69823817412295,-23.661239085015254
1.98,0.05,110.0,32,1024,9023007.084707584,-23.743488719702576,-23.722136802655655,-23.69823817412295,-23.669425489660817,-23.624205719280173
