model,T,iv_atm,skew_atm,curv_atm,smile_rms
GBM,0.019178082191780823,0.20000000000000512,-1.5463820700136145e-13,6.153807622208039e-11,8.220536548805989e-05
GBM,0.038356164383561646,0.19999999999993776,-1.0547118733939011e-13,4.3112905535852196e-10,1.5295552902277666e-10
GBM,0.057534246575342465,0.19999999999966575,5.313210189277547e-14,1.687448366979256e-09,6.6115090906981156e-12
GBM,0.0821917808219178,0.19999999999860876,6.344131569286623e-15,9.11144175980947e-09,5.828113028935161e-12
GBM,0.16666666666666666,0.199999999976191,1.4274296030894903e-14,1.5596884328279418e-07,2.2424522473235772e-11
GBM,0.25,0.20000000000000098,1.6653345369377386e-14,9.153675549970722e-12,1.5492003620069445e-12
GBM,0.5,0.2000000000000003,-1.6653345369377386e-14,9.416857316600027e-08,4.435450565445024e-12
GBM,1.0,0.20000000000010393,-1.0309213800090763e-14,3.535765784465423e-09,4.490323939484513e-12
GBM,2.0,0.2000000000154341,5.868321701590127e-14,-1.0080208776529737e-07,1.5030314633684377e-11
Vg,0.019178082191780823,0.11274906475046889,-1.6935648597630286,277.4915872964885,0.23687269943726696
Vg,0.038356164383561646,0.13651562803675632,-1.6203159943106644,93.01886277728718,0.14719424395530561
Vg,0.057534246575342465,0.14880347115440817,-1.4539558079656378,28.412197282376887,0.10735722353756934
Vg,0.0821917808219178,0.15806922411523683,-1.1758206088432503,3.948148091973545,0.07967362477265745
Vg,0.16666666666666666,0.1716738406144079,-0.577035118409422,0.9276268292324693,0.043375104531933606
Vg,0.25,0.17686489341770073,-0.37548681583308,0.5611922931091139,0.03140902450471063
Vg,0.5,0.1824901812730563,-0.18086530387091684,0.18888139953550323,0.01850159359727767
Vg,1.0,0.18546764021540096,-0.08826413746283873,0.053521743836972675,0.009929969025651157
Vg,2.0,0.1869962652737856,-0.04353850978566785,0.014107193509505702,0.005016025285108655
Merton,0.019178082191780823,0.15129202364165711,-0.5581059331708434,33.27785115570257,0.20892681555229708
Merton,0.038356164383561646,0.15632577368146636,-0.4647713393515649,18.705529010888736,0.13509726895265273
Merton,0.057534246575342465,0.1598302539089778,-0.4201549243955281,13.103286092948736,0.10224217695470622
Merton,0.0821917808219178,0.16322417465024702,-0.3815850740940343,9.348046286905914,0.07884154473998771
Merton,0.16666666666666666,0.17051312681239486,-0.2997884702703028,4.284394670484953,0.04583985153306725
Merton,0.25,0.17470802874877403,-0.24880666614105146,2.482423943127123,0.033264593899106236
Merton,0.5,0.18097944900576024,-0.1615862047176964,0.7664279974080206,0.0188122365173868
Merton,1.0,0.18520858652179628,-0.09043785143455596,0.1667563957062897,0.010259866862770178
Merton,2.0,0.18744427317350867,-0.046188924165838585,0.03090900542768865,0.0053110646772961565
Kou,0.019178082191780823,0.15674322916714942,-0.38744470085981264,23.261987839947135,0.19904247413912318
Kou,0.038356164383561646,0.1604814959231884,-0.3251706659782693,13.101782460955398,0.12834248110220386
Kou,0.057534246575342465,0.16306384432789406,-0.2960115011101461,9.271016413550917,0.09731966882166121
Kou,0.0821917808219178,0.16556678880784842,-0.2713945797321742,6.7373899010811735,0.0754408534900958
Kou,0.16666666666666666,0.17104844220706106,-0.22120566051480417,3.355682836000309,0.044516023555144425
Kou,0.25,0.17437196864429141,-0.19086065513158973,2.1348975426235293,0.03245688297337503
Kou,0.5,0.17993545015796464,-0.1382744045560645,0.8760594734393693,0.018802477583756094
Kou,1.0,0.18473023745603387,-0.09031350493737764,0.3010446121728804,0.010956969485273086
Kou,2.0,0.1882364491716285,-0.053199864539893574,0.08642824550527418,0.006221526021250143
CGMY,0.019178082191780823,0.14104457746642132,-1.0559930937730286,98.73000786328787,0.20912176350990055
CGMY,0.038356164383561646,0.15220549168534298,-0.7942583160363712,37.26649923214262,0.13212751151299193
CGMY,0.057534246575342465,0.15818450640147694,-0.6453428314689653,20.31722398800551,0.09849130709307843
CGMY,0.0821917808219178,0.163042410006048,-0.5275702212592956,11.739354816753401,0.07504349490397454
CGMY,0.16666666666666666,0.17142758140653871,-0.3388976108857458,3.8365730641770464,0.043129289646149226
CGMY,0.25,0.17544558534025656,-0.2568529246946558,1.98813647812362,0.03149255007436033
CGMY,0.5,0.18097367388107277,-0.1541318903149041,0.6299381229282498,0.018311431725302068
CGMY,1.0,0.18493013202000985,-0.08853840924806412,0.1929392166865491,0.010375380431227618
CGMY,2.0,0.18756855033807857,-0.048909468470311225,0.0569314426936568,0.005697678121448867
