div_std,K,iv_option,mc_price,mc_se,mc_call,mc_put,mc_call_se,mc_put_se,cos_price,cos_call,cos_put,abs_diff,iv_det_gbm_from_mc,iv_det_gbm_from_cos
0.0,82.30190144567798,P,14.702335552493487,0.005310251630802963,14.702335552493487,0.0019235531430177209,0.005310251630802963,6.727081390988542e-05,14.699968156545193,14.699968156545193,0.0018696022231703452,0.0023673959482941598,0.1002461042472032,0.09999999999996473
0.0,83.30256066957413,P,13.703920792881075,0.005304269188271154,13.703920792881075,0.004168017425914847,0.005304269188271154,0.00010174060998101536,13.70145342305392,13.70145342305392,0.004014092628044815,0.002467369827154897,0.10036774865512009,0.09999999999998292
0.0,84.30321989347028,P,12.707538768348021,0.005293651860786658,12.707538768348021,0.00844521678923791,0.005293651860786658,0.00014991054524666784,12.704972415735329,12.704972415735329,0.008192309205611396,0.0025663526126926683,0.10033663232812885,0.099999999999794
0.0,85.30387911736644,P,11.71465765038584,0.005275748481353748,11.71465765038584,0.0162233227235243,0.005275748481353748,0.00021502438701355905,11.712049514368456,11.712049514368456,0.01592863173488775,0.0026081360173844104,0.10023092078731348,0.10000000000000038
0.0,86.30453834126259,P,10.72758352706833,0.005246889339107225,10.72758352706833,0.02980842330220593,0.005246889339107225,0.0003007759481273659,10.725031956400304,10.725031956400304,0.02957029766288114,0.0025515706680252492,0.10011558458507142,0.09999999999999287
0.0,87.30519756515875,P,9.749816311118966,0.005202211480754624,9.749816311118966,0.05270043124894924,0.005202211480754624,0.0004113573658049739,9.747328156228434,9.747328156228434,0.052525721387184615,0.0024881548905320017,0.10005511366008198,0.10000000000003291
0.0,88.3058567890549,P,8.786095379341454,0.005136252683173916,8.786095379341454,0.08963872336814475,0.005136252683173916,0.0005510147928686628,8.783606743422329,8.783606743422329,0.08946353247722497,0.0024886359191249596,0.100037657853282,0.09999999999999999
0.0,89.30651601295105,P,7.842237879341449,0.005043852086044719,7.842237879341449,0.1464404472634667,0.005043852086044719,0.0007228910298476003,7.839898157372478,7.839898157372478,0.1464141703235254,0.0023397219689709203,0.10000403370631607,0.09999999999999411
0.0,90.3071752368472,P,6.925668600223902,0.0049197400058974584,6.925668600223902,0.23053039204216433,0.0049197400058974584,0.0009289026509928076,6.923540545640455,6.923540545640455,0.230715782487649,0.0021280545834470033,0.09997873885316867,0.09999999999998926
0.0,91.30783446074335,P,6.044853521491101,0.0047598449497095515,6.044853521491101,0.3503745372057799,0.0047598449497095515,0.001169532196064032,6.042927888285031,6.042927888285031,0.35076234902837544,0.0019256332060697545,0.09996528808192746,0.10000000000000024
0.0,92.3084936846395,P,5.208789324928579,0.00456202016492233,5.208789324928579,0.5149695645388658,0.00456202016492233,0.0014432913628961007,5.207050456763606,5.207050456763606,0.515544141403101,0.0017388681649723736,0.09995812068030312,0.09999999999994712
0.0,93.30915290853565,P,4.426306534293892,0.004326606502384499,4.426306534293892,0.7331459978005763,0.004326606502384499,0.001746445272788876,4.424860015700183,4.424860015700183,0.7340129242358346,0.001446518593708923,0.09994638188219329,0.10000000000000109
0.0,94.3098121324318,P,3.7058938746664936,0.0040560378901250554,3.7058938746664936,1.0133925620693682,0.0040560378901250554,0.0020730069452133465,3.704534141644023,3.704534141644023,1.0143462740758236,0.0013597330224706106,0.09994791250083854,0.0999999999999999
0.0,95.31047135632795,P,3.05399661890335,0.003755759856969482,3.05399661890335,1.3621545302023248,0.003755759856969482,0.0024153857179517527,3.0527437955592744,3.0527437955592744,1.3632151518872193,0.0012528233440756154,0.09994683125638304,0.09999999999999942
0.0,96.3111305802241,P,2.4749315314023606,0.00343324649397639,2.4749315314023606,1.7837486665976354,0.00343324649397639,0.002764662238530432,2.4740365911441846,2.4740365911441846,1.7851671713682848,0.0008949402581759358,0.09993223929257354,0.09999999999999945
0.0,97.31178980412025,C,1.9710363380867029,0.003096965483433102,1.9710363380867029,2.280512697177995,0.003096965483433102,0.003111062240163879,1.9704317275821732,1.9704317275821732,2.2822215317024237,0.0006046105045296457,0.10002853938060653,0.09999999999998896
0.0,98.3124490280164,C,1.5416907368136363,0.002756181603882081,1.5416907368136363,2.851826319801177,0.002756181603882081,0.003445293163391748,1.5412851401892675,1.5412851401892675,2.8537341682056705,0.00040559662436878696,0.10001959602192993,0.09999999999958911
0.0,99.31310825191255,C,1.1835067893813995,0.0024201588023166393,1.1835067893813995,3.4943015962648203,0.0024201588023166393,0.003759205105174493,1.183434729786873,1.183434729786873,3.4965429816994247,7.20595945264968e-05,0.10000368717201184,0.0999999999999977
0.0,100.31376747580872,C,0.8915845833495981,0.0020968890261829996,0.8915845833495981,4.203038614129526,0.0020968890261829996,0.004045760658127751,0.8915877787922436,0.8915877787922436,4.205355254600962,3.195442645487212e-06,0.09999982100743254,0.099999999999999
0.0,101.31442669970487,C,0.658746509349684,0.0017932617826567497,0.658746509349684,4.970859764025586,0.0017932617826567497,0.004300580407648959,0.6588767582803191,0.6588767582803191,4.973303457985185,0.00013024893063506848,0.09999175227653087,0.10000000000000149
0.0,102.31508592360102,C,0.4773044128863929,0.001514272839855817,0.4773044128863929,5.790076891458611,0.001514272839855817,0.004521014596935995,0.47749226975477477,0.47749226975477477,5.792578193355791,0.00018785686838185267,0.09998612673030297,0.10000000000000009
0.0,103.31574514749717,C,0.33892274629028135,0.001263230304459643,0.33892274629028135,6.65235444875883,0.001263230304459643,0.004706892335645915,0.33930389605590994,0.33930389605590994,6.6550490435530625,0.0003811497656285856,0.09996616071930824,0.10000000000000632
