T,K,type,x,iv_target,iv_fit
0.0416,90.0,put,-0.5216714476880678,0.34709519045759546,0.3469035007773393
0.0416,90.0,call,-0.5216714476880678,0.34677969490576943,0.34784651841126835
0.0416,95.0,put,-0.25658508585838014,0.2616533893471075,0.26135685035696266
0.0416,95.0,call,-0.25658508585838014,0.2612320521420503,0.2615504864729169
0.0416,100.0,put,-0.005099019513592018,0.2146535261001963,0.213818094289422
0.0416,100.0,call,-0.005099019513592018,0.21335149654201518,0.21285642455565923
0.0416,105.0,put,0.23411444122807093,0.20888126415222258,0.2087501384489776
0.0416,105.0,call,0.23411444122807093,0.19856542585159495,0.1987218566807367
0.0416,110.0,put,0.4621975830501477,0.281858942869946,0.2817114622508928
0.0416,110.0,call,0.4621975830501477,0.19958687109856452,0.1995735558029058
0.0833,90.0,put,-0.3722679851194203,0.30023686768802943,0.30034832286190033
0.0833,90.0,call,-0.3722679851194203,0.2996813190243157,0.29998698823072345
0.0833,95.0,put,-0.184936166479934,0.25181461722258125,0.2519462352726393
0.0833,95.0,call,-0.184936166479934,0.2511194955010444,0.25133035508178664
0.0833,100.0,put,-0.007215434844830884,0.2233260909900445,0.2229891077724972
0.0833,100.0,call,-0.007215434844830884,0.22180864007809487,0.22153045076882735
0.0833,105.0,put,0.1618324646188617,0.21346416629435871,0.21324443411766175
0.0833,105.0,call,0.1618324646188617,0.20756440908796348,0.20742124418976599
0.0833,110.0,put,0.32301476560041475,0.2337082711013715,0.23374739192365127
0.0833,110.0,call,0.32301476560041475,0.20147523915435858,0.20151968904120093
0.25,90.0,put,-0.22322103131565252,0.26646665327613894,0.26639172925324434
0.25,90.0,call,-0.22322103131565252,0.26518240493452805,0.26526892070891733
0.25,95.0,put,-0.11508658877510093,0.24963222046646646,0.2495274311528565
0.25,95.0,call,-0.11508658877510093,0.2478694797994382,0.24786826816110283
0.25,100.0,put,-0.012499999999999834,0.23735718394402164,0.2372473619645507
0.25,100.0,call,-0.012499999999999834,0.23454031440118228,0.23448868430585776
0.25,105.0,put,0.0850803283388642,0.23021089280860943,0.23007640568207147
0.25,105.0,call,0.0850803283388642,0.2248269464807892,0.22473276168985734
0.25,110.0,put,0.17812035960864975,0.22988759719188076,0.22970311324769901
0.25,110.0,call,0.17812035960864975,0.21786962758381181,0.2177648085836753
0.5,90.0,put,-0.16667993971158448,0.258838427378388,0.2591588682359628
0.5,90.0,call,-0.16667993971158448,0.2565739168242926,0.2570685997543349
0.5,95.0,put,-0.09021734211133359,0.2511095300296699,0.2511281237693003
0.5,95.0,call,-0.09021734211133359,0.24799415790200435,0.2481869350020929
0.5,100.0,put,-0.017677669529663827,0.2450834182982191,0.24498275910148457
0.5,100.0,call,-0.017677669529663827,0.24058155223535757,0.24063083353832007
0.5,105.0,put,0.05132204234915677,0.24119841428225777,0.24106217495458412
0.5,105.0,call,0.05132204234915677,0.23432799455445597,0.23431001313144537
0.5,110.0,put,0.11711127938183069,0.24022773304286063,0.2400969998569736
0.5,110.0,call,0.11711127938183069,0.2291200811885041,0.22907089595833888
0.75,90.0,put,-0.14331047924861867,0.2568060198887977,0.25742611056969883
0.75,90.0,call,-0.14331047924861867,0.2536627554586554,0.25444921256513625
0.75,95.0,put,-0.08087902973916103,0.2522796066341386,0.25254382680915516
0.75,95.0,call,-0.08087902973916103,0.2480372735604682,0.248489993811345
0.75,100.0,put,-0.021650635094611046,0.24882608368579864,0.24887745529932542
0.75,100.0,call,-0.021650635094611046,0.2429808387067329,0.2432263442646471
0.75,105.0,put,0.03468739373944423,0.24673460751250395,0.24666744714947347
0.75,105.0,call,0.03468739373944423,0.23848927211835338,0.23860905168538554
0.75,110.0,put,0.08840408083846604,0.24646537241774533,0.24635484200088822
0.75,110.0,call,0.08840408083846604,0.23453067235374814,0.23457546369071594
