div_std,K,iv_option,mc_price,mc_se,mc_call,mc_put,mc_call_se,mc_put_se,cos_price,cos_call,cos_put,abs_diff,iv_det_gbm_from_mc,iv_det_gbm_from_cos,cgmy_C,cgmy_G,cgmy_M,cgmy_Y,trunc_eps,mc_paths
0.0,88.42780510996491,P,8.63842187725934,0.0050828397484680736,8.63842187725934,0.0649123952866637,0.0050828397484680736,0.001789768726493946,8.634707351559143,8.634707351559143,0.06288989384756384,0.0037145257001967025,0.093080425828846,0.09255667694113792,0.02,5.0,5.0,0.5,0.001,300000
0.0,88.98953569397685,P,8.082090937848232,0.005053164129609899,8.082090937848232,0.0703120398875924,0.005053164129609899,0.0018584616799621767,8.078734134436761,8.078734134436761,0.06864726073710845,0.003356803411470821,0.08907143636344597,0.08867811542837088,0.02,5.0,5.0,0.5,0.001,300000
0.0,89.55126627798879,P,7.526296739566221,0.005022527584999984,7.526296739566221,0.07624842561754401,0.005022527584999984,0.0019300857214005985,7.522725849349245,7.522725849349245,0.0743695596615699,0.00357089021697643,0.08499766198744924,0.08459235610491815,0.02,5.0,5.0,0.5,0.001,300000
0.0,90.11299686200073,P,6.971117590322865,0.004990930670026284,6.971117590322865,0.08279986038620131,0.004990930670026284,0.0020048349806257113,6.966894644379568,6.966894644379568,0.08026893870382504,0.00422294594329653,0.0808531336507463,0.08035494289458373,0.02,5.0,5.0,0.5,0.001,300000
0.0,90.67472744601267,P,6.416657988495269,0.004958341677539074,6.416657988495269,0.09007084257052277,0.004958341677539074,0.0020829366743827203,6.412768543138906,6.412768543138906,0.08787342147510752,0.0038894453563624865,0.07663228029651292,0.07623985999502346,0.02,5.0,5.0,0.5,0.001,300000
0.0,91.23645803002461,P,5.8630273580026975,0.004924822829509028,5.8630273580026975,0.09817079608992388,0.004924822829509028,0.002164656028092368,5.859397941410889,5.859397941410889,0.09623340375902013,0.0036294165918082655,0.07232456095851787,0.07201133791883155,0.02,5.0,5.0,0.5,0.001,300000
0.0,91.79818861403655,P,5.31038276327446,0.004890379238099509,5.31038276327446,0.10725678537358628,0.004890379238099509,0.00225029550412018,5.305859174742651,5.305859174742651,0.10442522110272202,0.0045235885318088975,0.06792054630238516,0.06750613906828902,0.02,5.0,5.0,0.5,0.001,300000
0.0,92.35991919804849,P,4.7589306791511925,0.004855020657934012,4.7589306791511925,0.11753528526229012,0.004855020657934012,0.0023402198577383957,4.754539151256735,4.754539151256735,0.11483578162874954,0.00439152789445707,0.06340863128875404,0.06305320832274286,0.02,5.0,5.0,0.5,0.001,300000
0.0,92.92164978206043,P,4.20891890007229,0.004818862355378088,4.20891890007229,0.12925409019532214,0.004818862355378088,0.002434865319443589,4.205335771341484,4.205335771341484,0.12736298572543464,0.003583128730806351,0.058770583297794485,0.0585477474501111,0.02,5.0,5.0,0.5,0.001,300000
0.0,93.48338036607235,P,3.660777445555335,0.004781797214057719,3.660777445555335,0.1428432196902506,0.004781797214057719,0.0025347789590890605,3.6559898238236794,3.6559898238236794,0.13974762221954665,0.004787621731655367,0.053993067373018344,0.053667083690108815,0.02,5.0,5.0,0.5,0.001,300000
0.0,94.0451109500843,P,3.114962352527062,0.004744149724168494,3.114962352527062,0.15875871067388353,0.004744149724168494,0.0026406435819355907,3.1099406112622905,3.1099406112622905,0.15542899367012464,0.0050217412647715065,0.049040496197565134,0.048729463775923985,0.02,5.0,5.0,0.5,0.001,300000
0.0,94.60684153409623,P,2.5722291655636607,0.004706154888196325,2.5722291655636607,0.1777561077224312,0.004706154888196325,0.0027533098646751234,2.5688102755522806,2.5688102755522806,0.1760292419720347,0.0034188900113800713,0.04387258356610843,0.04373070679067995,0.02,5.0,5.0,0.5,0.001,300000
0.0,95.16857211810817,P,2.033750998189141,0.004668247278706626,2.033750998189141,0.20100852435982608,0.004668247278706626,0.002873835737733465,2.0285388578651005,2.0285388578651005,0.19748840829679604,0.005212140324040604,0.03842771694678729,0.03817434921734793,0.02,5.0,5.0,0.5,0.001,300000
0.0,95.73030270212011,P,1.5020254563066306,0.00463050878346172,1.5020254563066306,0.2310135664892943,0.00463050878346172,0.0030036546315341983,1.4958834356773674,1.4958834356773674,0.22656357012100722,0.006142020629263278,0.032636111602092,0.03235814739581187,0.02,5.0,5.0,0.5,0.001,300000
0.0,96.29203328613205,P,0.9824810504136151,0.00459320501867568,0.9824810504136151,0.27319974460823615,0.00459320501867568,0.003144813727208513,0.9813196832263349,0.9813196832263349,0.273730401681913,0.0011613671872802156,0.026379661439162976,0.026408232664218607,0.02,5.0,5.0,0.5,0.001,300000
0.0,96.853763870144,P,0.4983303339248958,0.00455370296618965,0.4983303339248958,0.35077961213144415,0.00455370296618965,0.0032977628937878116,0.49684946734203217,0.49684946734203217,0.35099076980954724,0.0014808665828636158,0.01982359410547964,0.0198336608488706,0.02,5.0,5.0,0.5,0.001,300000
0.0,97.41549445415593,C,0.341577474064612,0.004439239003155767,0.341577474064612,0.7557573362830925,0.004439239003155767,0.003368823081967518,0.3351755305910916,0.3351755305910916,0.7510474170705354,0.006401943473520355,0.024636216751196833,0.024319097228843907,0.02,5.0,5.0,0.5,0.001,300000
0.0,97.97722503816787,C,0.2916886320365748,0.004316704257905512,0.2916886320365748,1.2675990782670057,0.004316704257905512,0.0034172957183654165,0.2850132590033946,0.2850132590033946,1.2626157294947837,0.006675373033180221,0.03145125627727808,0.0310793112276112,0.02,5.0,5.0,0.5,0.001,300000
