model,T,iv_atm,skew_atm,curv_atm,smile_rms
GBM,0.019178082191780823,0.20000000000000512,-1.5463820700136145e-13,6.153807622208039e-11,8.220536548805989e-05
GBM,0.038356164383561646,0.19999999999993776,-1.0547118733939011e-13,4.3112905535852196e-10,1.5295552902277666e-10
GBM,0.057534246575342465,0.19999999999966575,5.313210189277547e-14,1.687448366979256e-09,6.6115090906981156e-12
GBM,0.0821917808219178,0.19999999999860876,6.344131569286623e-15,9.11144175980947e-09,5.828113028935161e-12
GBM,0.16666666666666666,0.199999999976191,1.4274296030894903e-14,1.5596884328279418e-07,2.2424522473235772e-11
GBM,0.25,0.20000000000000098,1.6653345369377386e-14,9.153675549970722e-12,1.5492003620069445e-12
GBM,0.5,0.2000000000000003,-1.6653345369377386e-14,9.416857316600027e-08,4.435450565445024e-12
GBM,1.0,0.20000000000010393,-1.0309213800090763e-14,3.535765784465423e-09,4.490323939484513e-12
GBM,2.0,0.2000000000154341,5.868321701590127e-14,-1.0080208776529737e-07,1.5030314633684377e-11
Vg,0.019178082191780823,0.10359857922373537,-2.688279767421256,232.9320496836083,0.24841466548293797
Vg,0.038356164383561646,0.12832355438101445,-2.676800841400566,37.510146975603845,0.16164078019739775
Vg,0.057534246575342465,0.14191294887598113,-2.48873288523873,-31.39496740064546,0.12345059173998946
Vg,0.0821917808219178,0.15263693606786036,-1.852369525459667,-22.889770332717262,0.09716476701178517
Vg,0.16666666666666666,0.16928560527157113,-0.923470874389559,-5.488481922996343,0.06379975942474544
Vg,0.25,0.1759481814658971,-0.6152539371838214,-2.378842702426287,0.052064172396562164
Vg,0.5,0.18334260810792954,-0.3057557953168048,-0.5648771922502183,0.0341452912402007
Vg,1.0,0.18730752849657814,-0.15193051372067598,-0.13520471672060175,0.01770372960013868
Vg,2.0,0.18934919543401593,-0.07565245214337912,-0.032853273245634244,0.008792809230330977
Merton,0.019178082191780823,0.23950937398865946,-2.524761905671523,79.31200320102462,0.3170840777993759
Merton,0.038356164383561646,0.2752387212285113,-2.2592951661737617,40.38402006695846,0.23874116605521759
Merton,0.057534246575342465,0.30213105331269163,-2.076088054786023,24.41696266550378,0.20076130553382468
Merton,0.0821917808219178,0.32953157038659275,-1.876829113601847,13.835581004137428,0.1713653603448636
Merton,0.16666666666666666,0.3903145314224741,-1.3376809436472823,1.1233693933806677,0.12027608519366385
Merton,0.25,0.4222933886980434,-0.946056675352595,-1.9313586562428138,0.0915108157210345
Merton,0.5,0.4481868731098384,-0.323538019951853,-1.6503173773814148,0.040681516419553004
Merton,1.0,0.44493854994695337,-0.13707981103434502,-0.01688810991042726,0.016128889510483645
Merton,2.0,0.4464189108622424,-0.06967819869127788,-0.025902760143243803,0.008107761411299158
Kou,0.019178082191780823,0.16817262865760782,-0.2698456395678885,14.401862416798526,0.17926850926387702
Kou,0.038356164383561646,0.1708706220761449,-0.22682251839679063,8.20552643823612,0.11202792808598361
Kou,0.057534246575342465,0.17272358414994868,-0.20605973262303623,5.8455615694531575,0.08307264564362686
Kou,0.0821917808219178,0.17451128673541788,-0.18841091064674412,4.276931399009839,0.06300789043976328
Kou,0.16666666666666666,0.17840036727109268,-0.15273183868626086,2.170375782894495,0.035124449156120154
Kou,0.25,0.1807443488457053,-0.13155399513366003,1.4031375406894135,0.02465209512429263
Kou,0.5,0.18465992144595023,-0.09553565831369164,0.6005404333352172,0.013665290059950232
Kou,1.0,0.18805881049116577,-0.0631228315285624,0.22068510451120055,0.007853696168075191
Kou,2.0,0.1906023475826296,-0.03791133394706374,0.0693192131715439,0.00448104424000865
CGMY,0.019178082191780823,3.12921329483625,0.03848379797827112,0.23519134819130083,0.004935678819646602
CGMY,0.038356164383561646,3.1401569528842472,0.01956025606256268,0.05968740697484287,0.002332416797968688
CGMY,0.057534246575342465,3.143900353564072,0.013115859032047164,0.02667060937487909,0.0015410717096920868
CGMY,0.0821917808219178,3.146170886530605,0.009213836682876949,0.013111880681250099,0.0010759657990565025
CGMY,0.16666666666666666,3.1488804198922544,0.0045635685873409975,0.003199358292307617,0.0005305157150082598
CGMY,0.25,3.149768902218858,0.0030450382610070006,0.0013707775551387337,0.0003536788221697675
CGMY,0.5,3.1459923976564887,0.003847296642156559,0.016961696445025456,0.00044794783812256535
CGMY,1.0,nan,nan,nan,nan
CGMY,2.0,0.0,0.0,0.0,0.0
